STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLD,E,16,RAINTIP,20180504 0600,20180504 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 0700,20180504 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 0800,20180504 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 0900,20180504 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1000,20180504 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1100,20180504 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1200,20180504 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1300,20180504 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1400,20180504 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1500,20180504 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1600,20180504 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1700,20180504 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1800,20180504 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 1900,20180504 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 2000,20180504 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 2100,20180504 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 2200,20180504 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180504 2300,20180504 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0000,20180505 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0100,20180505 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0200,20180505 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0300,20180505 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0400,20180505 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0500,20180505 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0600,20180505 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0700,20180505 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0800,20180505 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 0900,20180505 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1000,20180505 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1100,20180505 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1200,20180505 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1300,20180505 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1400,20180505 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1500,20180505 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1600,20180505 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1700,20180505 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1800,20180505 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 1900,20180505 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 2000,20180505 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 2100,20180505 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 2200,20180505 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180505 2300,20180505 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0000,20180506 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0100,20180506 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0200,20180506 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0300,20180506 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0400,20180506 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0500,20180506 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0600,20180506 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0700,20180506 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0800,20180506 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 0900,20180506 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1000,20180506 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1100,20180506 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1200,20180506 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1300,20180506 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1400,20180506 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1500,20180506 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1600,20180506 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1700,20180506 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1800,20180506 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 1900,20180506 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 2000,20180506 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 2100,20180506 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180506 2200,20180506 2200,31.22, ,INCHES
